City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,6.91,scattered clouds
1,Haftoni,AZ,38.7632,48.7622,61.3,76,50,4.23,scattered clouds
2,Esperance,AU,-33.8667,121.9,69.64,50,0,7.29,clear sky
3,Bluff,NZ,-46.6,168.3333,53.8,96,100,2.35,overcast clouds
4,Ribeira Grande,PT,38.5167,-28.7,61.72,86,7,2.86,clear sky
5,Cherskiy,RU,68.75,161.3,26.91,75,100,10.98,overcast clouds
6,Busselton,AU,-33.65,115.3333,67.05,58,0,1.92,clear sky
7,Arraial Do Cabo,BR,-22.9661,-42.0278,73.45,86,95,8.79,overcast clouds
8,Algeciras,ES,36.1333,-5.4505,58.68,82,0,3.44,clear sky
9,Hermanus,ZA,-34.4187,19.2345,56.89,83,7,4.21,clear sky
10,Qasigiannguit,GL,68.8193,-51.1922,12.45,84,2,6.49,clear sky
11,Dikson,RU,73.5069,80.5464,17.49,93,100,16.73,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,53.47,98,100,0.6,light rain
13,Atuona,PF,-9.8,-139.0333,79.29,75,5,12.21,clear sky
14,Faya,SA,18.3851,42.4509,60.91,51,84,3.04,broken clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,48.87,76,12,4.0,few clouds
16,Provideniya,RU,64.3833,-173.3,33.13,84,99,13.89,overcast clouds
17,Rio Piracicaba,BR,-19.9292,-43.1742,60.64,95,17,1.45,few clouds
18,Guerrero Negro,MX,27.9769,-114.0611,60.1,86,89,15.82,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,40.66,70,20,12.66,few clouds
20,Kaduna,NG,10.5222,7.4383,77.27,61,68,4.36,broken clouds
21,Hithadhoo,MV,-0.6,73.0833,84.94,69,85,12.66,overcast clouds
22,Hobart,AU,-42.8794,147.3294,64.22,67,40,16.11,scattered clouds
23,Rikitea,PF,-23.1203,-134.9692,76.78,73,96,9.91,moderate rain
24,Vaini,TO,-21.2,-175.2,80.76,89,75,10.36,broken clouds
25,Ucluelet,CA,48.9329,-125.5528,52.09,83,55,1.01,broken clouds
26,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,27,6.67,scattered clouds
27,Caloundra,AU,-26.8,153.1333,72.9,84,100,5.01,overcast clouds
28,Bethel,US,41.3712,-73.414,51.94,55,0,4.61,clear sky
29,Kasempa,ZM,-13.4584,25.8338,52.95,76,4,4.52,clear sky
30,Rio Gallegos,AR,-51.6226,-69.2181,41.05,81,0,6.91,clear sky
31,Port Elizabeth,ZA,-33.918,25.5701,61.09,73,0,11.5,clear sky
32,Albany,US,42.6001,-73.9662,47.17,56,3,4.07,clear sky
33,Port Alfred,ZA,-33.5906,26.891,54.18,80,70,3.0,broken clouds
34,Constantine,DZ,36.365,6.6147,44.01,81,0,2.3,clear sky
35,Horsham,GB,51.064,-0.3272,53.02,83,0,4.61,clear sky
36,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.09,98,21,1.25,few clouds
37,Hilo,US,19.7297,-155.09,78.53,81,100,8.05,overcast clouds
38,Doha,QA,25.2867,51.5333,76.98,63,0,3.44,clear sky
39,Graaff-Reinet,ZA,-32.2522,24.5308,53.29,54,11,1.9,few clouds
40,Torbay,CA,47.6666,-52.7314,42.89,96,100,4.0,light rain
41,Rocha,UY,-34.4833,-54.3333,54.28,78,99,3.6,overcast clouds
42,Butaritari,KI,3.0707,172.7902,81.48,79,28,13.2,scattered clouds
43,Tilichiki,RU,60.4667,166.1,29.8,85,56,9.28,broken clouds
44,Mackay,AU,-21.15,149.2,83.68,73,37,19.57,scattered clouds
45,Sur,OM,22.5667,59.5289,87.17,58,45,4.9,scattered clouds
46,Manjacaze,MZ,-24.7117,33.8828,68.09,83,43,10.47,light rain
47,Uromi,NG,6.7,6.3333,71.78,93,88,3.74,overcast clouds
48,Kapaa,US,22.0752,-159.319,82.38,87,75,16.11,moderate rain
49,Isla Mujeres,MX,21.2311,-86.731,78.85,73,2,12.08,clear sky
50,Nioaque,BR,-21.1353,-55.83,73.26,56,31,1.95,scattered clouds
51,Marystown,CA,47.1666,-55.1483,42.85,100,100,4.03,overcast clouds
52,Airai,TL,-8.9266,125.4092,76.28,50,50,4.99,scattered clouds
53,Luderitz,NA,-26.6481,15.1594,60.26,47,0,8.88,clear sky
54,Olinda,BR,-8.0089,-34.8553,80.33,69,40,11.5,scattered clouds
55,Carnarvon,AU,-24.8667,113.6333,82.47,36,0,9.22,clear sky
56,Touros,BR,-5.1989,-35.4608,78.93,80,94,13.13,overcast clouds
57,Ferrol,ES,43.4832,-8.2369,54.68,86,43,1.43,scattered clouds
58,Avarua,CK,-21.2078,-159.775,82.45,78,20,9.22,few clouds
59,Cuamba,MZ,-14.8031,36.5372,59.07,96,0,3.33,clear sky
60,Ancud,CL,-41.8697,-73.8203,50.81,90,100,4.9,overcast clouds
61,Jamestown,US,42.097,-79.2353,53.24,35,0,9.22,clear sky
62,Phuket,TH,8.0,98.25,88.09,70,20,4.61,light rain
63,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,89,0,14.97,clear sky
64,East London,ZA,-33.0153,27.9116,60.28,69,34,10.92,scattered clouds
65,Phan Thiet,VN,10.9333,108.1,84.51,70,76,4.59,broken clouds
66,Fairbanks,US,64.8378,-147.7164,55.74,27,0,17.27,clear sky
67,Thompson,CA,55.7435,-97.8558,33.96,69,100,11.5,overcast clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,80,20,9.22,few clouds
69,Bundaberg,AU,-24.85,152.35,81.21,67,75,10.36,broken clouds
70,Avera,US,33.194,-82.5271,69.55,61,45,11.16,scattered clouds
71,Marienburg,PL,54.0359,19.0266,49.87,73,100,2.98,overcast clouds
72,Puerto Ayora,EC,-0.7393,-90.3518,71.53,93,58,6.33,broken clouds
